Scenario - visual LTP Rap V4.0 HVB (based on combined block 1+2 from old 45 135 degree pilot)
Logfile written - 03/23/2015 11:06:13

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur
08-0303	137	Picture	full0n	1815173	0	1	4666	2	0	4620
08-0303	138	Picture	full1n	1826506	0	1	2667	2	0	2620
08-0303	139	Picture	full1i	1838673	0	1	4333	2	0	4290
08-0303	140	Picture	full1n	1850506	0	1	2667	2	0	2620
08-0303	141	Picture	full0i	1861339	0	2	4000	3	0	3950
08-0303	142	Picture	full0n	1874173	0	1	2500	2	0	2450
08-0303	143	Picture	full1i	1885673	0	1	4833	2	0	4790
08-0303	144	Picture	full0i	1898006	0	1	2500	2	0	2450
08-0303	145	Picture	blue0n	1910173	0	1	2833	2	0	2790
08-0303	145	Response	10	1917680	7507	1
08-0303	146	Picture	full0i	1922006	0	1	4667	2	0	4620
08-0303	147	Picture	full1n	1934840	0	1	4833	2	0	4790
08-0303	148	Picture	full0n	1946173	0	1	4167	2	0	4120
08-0303	149	Picture	full0i	1958840	0	1	4666	3	0	4620
08-0303	150	Picture	blue1i	1971173	0	1	4000	2	0	3950
08-0303	150	Response	10	1978179	7006	1
08-0303	151	Picture	full1n	1983007	0	1	3000	2	0	2950
08-0303	152	Picture	full1i	1993840	0	1	4333	2	0	4290
08-0303	153	Picture	full1n	2005340	0	1	4167	2	0	4120
08-0303	154	Picture	full0n	2017507	0	1	3166	2	0	3120
08-0303	155	Picture	full1i	2030173	0	1	3834	2	0	3790
08-0303	156	Picture	full1n	2043340	0	1	4167	2	0	4120
08-0303	157	Picture	full0i	2055507	0	1	2500	2	0	2450
08-0303	158	Picture	blue0n	2067674	0	1	4166	2	0	4120
08-0303	158	Response	10	2071977	4303	1
08-0303	159	Picture	full1i	2078674	0	1	3000	2	0	2950
08-0303	160	Picture	full1n	2091340	0	1	2834	2	0	2790
08-0303	161	Picture	full1i	2102174	0	1	3166	2	0	3120
08-0303	162	Picture	full0i	2115340	0	1	4834	2	0	4790
08-0303	163	Picture	full0n	2127507	0	1	4167	2	0	4120
08-0303	164	Picture	full1n	2138507	0	1	5000	2	0	4950
08-0303	165	Picture	full0i	2152007	0	1	4500	2	0	4450
08-0303	166	Picture	full1i	2163341	0	1	4500	2	0	4450
08-0303	167	Picture	full0n	2176507	0	1	4167	2	0	4120
08-0303	168	Picture	full0i	2188007	0	1	4500	2	0	4450
08-0303	169	Picture	blue0n	2200174	0	1	2500	2	0	2450
08-0303	169	Response	10	2204375	4201	1
08-0303	170	Picture	full1n	2211674	0	1	4000	2	0	3950
08-0303	171	Picture	full1i	2223174	0	1	4833	2	0	4790
08-0303	172	Picture	full0i	2236674	0	1	2833	2	0	2790
08-0303	173	Picture	full0n	2249341	0	1	4333	2	0	4290
08-0303	174	Picture	full0i	2260674	0	1	3334	2	0	3290
08-0303	175	Picture	full0n	2272508	0	1	5000	2	0	4950
08-0303	176	Picture	full1n	2284674	0	1	3167	2	0	3120
08-0303	177	Picture	full1i	2295674	0	1	4000	2	0	3950
08-0303	178	Picture	full1n	2306674	0	1	4000	2	0	3950
08-0303	179	Picture	full0i	2317674	0	1	4834	2	0	4790
08-0303	180	Picture	full1i	2328508	0	1	3000	2	0	2950
08-0303	181	Picture	full0n	2340841	0	1	3167	2	0	3120
08-0303	182	Picture	full0i	2353508	0	1	3333	2	0	3290
08-0303	183	Picture	blue1n	2365675	0	1	2833	2	0	2790
08-0303	183	Response	10	2373573	7898	1
08-0303	184	Picture	full0n	2378008	0	1	4167	2	0	4120
08-0303	185	Picture	full0i	2389841	0	1	3667	2	0	3620
08-0303	186	Picture	full1i	2402008	0	1	3833	2	0	3790
08-0303	187	Picture	full0n	2415508	0	1	3000	2	0	2950
08-0303	188	Picture	full0i	2427341	0	2	4834	3	0	4790
08-0303	189	Picture	full0n	2440842	0	1	4500	2	0	4450
08-0303	190	Picture	full0i	2452342	0	1	4500	2	0	4450
08-0303	191	Picture	full0n	2463675	0	1	3167	2	0	3120
08-0303	192	Picture	full1n	2476842	0	1	4500	2	0	4450
08-0303	193	Picture	blue0i	2489175	0	1	3167	2	0	3120
08-0303	193	Response	10	2496571	7396	1
08-0303	194	Picture	full0n	2501842	0	1	3500	2	0	3450
08-0303	195	Picture	full0i	2514175	0	1	4333	2	0	4290
08-0303	196	Picture	full0n	2525008	0	2	3000	4	0	2950
08-0303	197	Picture	full0i	2537842	0	1	3500	2	0	3450
08-0303	198	Picture	full0n	2550009	0	1	3333	2	0	3290
08-0303	199	Picture	full1i	2562175	0	1	3167	2	0	3120
08-0303	200	Picture	blue0i	2574342	0	1	4667	2	0	4620
08-0303	200	Response	10	2578569	4227	2
08-0303	201	Picture	full1n	2586509	0	1	2666	2	0	2620
08-0303	202	Picture	full0n	2597342	0	1	3667	2	0	3620
08-0303	203	Picture	full0i	2609675	0	2	4834	3	0	4790
08-0303	204	Picture	full0n	2622842	0	1	3334	2	0	3290
08-0303	205	Picture	full0i	2636009	0	1	3833	2	0	3790
08-0303	206	Picture	full1i	2648176	0	1	3833	2	0	3790
08-0303	207	Picture	full0n	2660009	0	1	4500	2	0	4450
08-0303	208	Picture	full1n	2671009	0	1	4833	2	0	4790
08-0303	209	Picture	full0i	2682842	0	1	2667	2	0	2620
08-0303	210	Picture	full1i	2694342	0	2	4500	3	0	4450
08-0303	211	Picture	full0n	2707842	0	2	4334	3	0	4290
08-0303	212	Picture	full1n	2719342	0	2	3834	3	0	3790
08-0303	213	Picture	full1i	2731676	0	1	2833	2	0	2790
08-0303	214	Picture	blue1n	2743009	0	1	4167	2	0	4120
08-0303	214	Response	10	2750066	7057	2
08-0303	215	Picture	full1i	2754009	0	1	2500	2	0	2450
08-0303	216	Picture	full0i	2766676	0	1	4833	2	0	4790
08-0303	217	Picture	full0n	2779509	0	1	2834	2	0	2790
08-0303	218	Picture	full0i	2792176	0	1	4000	2	0	3950
08-0303	219	Picture	blue1n	2803176	0	1	3833	3	0	3790
08-0303	219	Response	10	2811266	8090	1
08-0303	220	Picture	full0n	2814176	0	1	4667	2	0	4620
08-0303	221	Picture	full0i	2827676	0	1	4000	2	0	3950
08-0303	222	Picture	full0n	2839010	0	1	3166	2	0	3120
08-0303	223	Picture	full1i	2852510	0	1	3833	2	0	3790
08-0303	224	Picture	full0i	2865176	0	1	2500	2	0	2450
08-0303	225	Picture	full1n	2876510	0	1	4333	2	0	4290
08-0303	226	Picture	full1i	2889176	0	2	4000	4	0	3950
08-0303	227	Picture	full1n	2900676	0	2	4167	3	0	4120
08-0303	228	Picture	full0n	2911677	0	1	4166	2	0	4120
08-0303	229	Picture	full1i	2924510	0	1	4333	2	0	4290
08-0303	230	Picture	full0i	2936677	0	1	4000	2	0	3950
08-0303	231	Picture	full1n	2948010	0	1	2833	2	0	2790
08-0303	232	Picture	blue0n	2958843	0	1	4167	2	0	4120
08-0303	232	Response	10	2964864	6021	1
08-0303	233	Picture	full1i	2971010	0	1	3167	2	0	3120
08-0303	234	Picture	full1n	2982343	0	2	3667	3	0	3620
08-0303	235	Picture	full0i	2995177	0	1	3833	2	0	3790
08-0303	236	Picture	full1i	3006677	0	1	3500	2	0	3450
08-0303	237	Picture	full1n	3019010	0	1	2500	2	0	2450
08-0303	238	Picture	full1i	3032510	0	1	2834	2	0	2790
08-0303	239	Picture	full1n	3045344	0	1	3500	2	0	3450
08-0303	240	Picture	full1i	3057177	0	1	3000	2	0	2950
08-0303	241	Picture	full0n	3070344	0	1	5000	2	0	4950
08-0303	242	Picture	full1n	3081177	0	1	4333	3	0	4290
08-0303	243	Picture	full1i	3094344	0	1	4833	2	0	4790
08-0303	244	Picture	full1n	3106677	0	1	3500	2	0	3450
08-0303	245	Picture	full1i	3119844	0	1	3833	2	0	3790
08-0303	246	Picture	full1n	3133011	0	1	3333	2	0	3290
08-0303	247	Picture	full1i	3145177	0	1	3000	2	0	2950
08-0303	248	Picture	full0i	3158011	0	1	2666	2	0	2620
08-0303	249	Picture	full0n	3169011	0	1	3333	2	0	3290
08-0303	250	Picture	blue1n	3181677	0	2	4834	3	0	4790
08-0303	250	Response	10	3189350	7673	1
08-0303	251	Picture	full0i	3193011	0	1	4333	2	0	4290
08-0303	252	Picture	full0n	3205178	0	1	3833	2	0	3790
08-0303	253	Picture	full0i	3216678	0	1	4000	2	0	3950
08-0303	254	Picture	full0n	3228511	0	1	3167	2	0	3120
08-0303	255	Picture	full1i	3242011	0	1	4333	2	0	4290
08-0303	256	Picture	full1n	3254178	0	1	3000	2	0	2950
08-0303	257	Picture	full1i	3265011	0	1	4333	3	0	4290
08-0303	258	Picture	blue0i	3278511	0	1	2667	2	0	2620
08-0303	258	Response	10	3283148	4637	2
08-0303	259	Picture	full1n	3292011	0	1	4167	2	0	4120
08-0303	260	Picture	full1i	3302845	0	1	4833	2	0	4790
08-0303	261	Picture	full1n	3314345	0	1	2666	2	0	2620
08-0303	262	Picture	full1i	3326678	0	1	3167	2	0	3120
08-0303	263	Picture	full1n	3339511	0	2	4834	3	0	4790
08-0303	264	Picture	full1i	3350845	0	1	3666	2	0	3620
08-0303	265	Picture	full0n	3363678	0	1	4500	2	0	4450
08-0303	266	Picture	full1n	3376512	0	1	4166	2	0	4120
08-0303	267	Picture	blue1i	3388345	0	1	4667	2	0	4620
08-0303	267	Response	10	3395347	7002	1
08-0303	268	Picture	full0i	3400512	0	1	4333	2	0	4290
08-0303	269	Picture	full0n	3413678	0	1	3667	2	0	3620
08-0303	270	Picture	default	3425845	0	1	2667	2	0	2500
08-0303	271	Picture	default	3446012	0	1	6859	2	0	2500


Event Type	Code	Type	Response	RT	RT Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur

Picture	full1n	other				4499	2	4667	3	0	4620
Picture	full0n	other				15969	198	2697	199	0	2620
Picture	full0i	other				27833	1	4333	2	0	4290
Picture	blue0n	false alarm	2	7395	202	40633	201	2700	202	0	2620
Picture	full1i	other				52633	201	4033	202	0	3950
Picture	full1n	other				63666	1	2500	2	0	2450
Picture	full0i	other				75000	1	4833	2	0	4790
Picture	full1i	other				85833	1	2500	2	0	2450
Picture	full0n	other				98000	1	2833	2	0	2790
Picture	full1n	other				111500	1	4667	2	0	4620
Picture	full1i	other				123667	1	4833	2	0	4790
Picture	full1n	other				134500	1	4167	2	0	4120
Picture	full1i	other				147333	1	4667	2	0	4620
Picture	full0i	other				160500	1	4000	2	0	3950
Picture	blue0n	false alarm	2	7358	3	173167	1	3000	2	0	2950
Picture	full0i	other				185333	2	4334	3	0	4290
Picture	full0n	other				196167	1	4166	3	0	4120
Picture	full1n	other				208834	1	3166	2	0	3120
Picture	full0i	other				219834	1	3833	2	0	3790
Picture	full0n	other				232667	1	4167	2	0	4120
Picture	full1i	other				244167	1	2500	2	0	2450
Picture	full1n	other				256000	1	4167	2	0	4120
Picture	full0i	other				266834	1	3000	2	0	2950
Picture	full0n	other				279500	2	2834	3	0	2790
Picture	full0i	other				291334	1	3166	3	0	3120
Picture	full1i	other				302834	1	4833	2	0	4790
Picture	blue1n	other				314167	1	4167	2	0	4120
Picture	full0n	other				325667	1	5000	2	0	4950
Picture	full1i	other				337834	1	4500	2	0	4450
Picture	full1n	other				349167	1	4500	2	0	4450
Picture	full1i	other				360501	1	4166	2	0	4120
Picture	full1n	other				374001	1	4500	2	0	4450
Picture	full0i	other				386834	1	2500	2	0	2450
Picture	full0n	other				398168	1	4000	2	0	3950
Picture	full0i	other				410834	1	4834	2	0	4790
Picture	full1i	other				422334	1	2834	2	0	2790
Picture	full1n	other				435501	1	4333	2	0	4290
Picture	full1i	other				447668	1	3333	2	0	3290
Picture	full1n	other				460001	1	5000	2	0	4950
Picture	full0n	other				472334	2	3167	3	0	3120
Picture	full0i	other				483835	1	4000	2	0	3950
Picture	full0n	other				497335	1	4000	2	0	3950
Picture	blue1i	other				510835	1	4833	2	0	4790
Picture	full0i	other				522668	1	3000	2	0	2950
Picture	full1n	other				535501	1	3167	2	0	3120
Picture	full1i	other				548668	1	3333	2	0	3290
Picture	full0n	other				561335	1	2833	2	0	2790
Picture	blue1n	other				572668	1	4167	2	0	4120
Picture	full1i	other				583668	1	3667	2	0	3620
Picture	blue0i	false alarm	2	6507	3	594502	1	3833	2	0	3790
Picture	full1n	other				605502	1	3000	2	0	2950
Picture	full1i	other				617335	1	4833	2	0	4790
Picture	full1n	other				629502	1	4500	2	0	4450
Picture	full1i	other				641335	1	4500	2	0	4450
Picture	blue1n	false alarm	2	4740	4	653668	2	3167	3	0	3120
Picture	full0n	other				665002	1	4500	2	0	4450
Picture	full1i	other				676502	1	3167	2	0	3120
Picture	full1n	other				687835	1	3500	2	0	3450
Picture	full1i	other				698669	1	4333	2	0	4290
Picture	full1n	other				709669	1	3000	2	0	2950
Picture	full1i	other				721002	1	3500	2	0	3450
Picture	blue1n	false alarm	2	6372	2	732835	1	3334	2	0	3290
Picture	full0i	other				745169	1	3166	3	0	3120
Picture	full1i	other				758335	2	4667	3	0	4620
Picture	full0n	other				770502	1	2667	2	0	2620
Picture	full1n	other				783336	1	3666	2	0	3620
Picture	full1i	other				794836	1	4833	2	0	4790
Picture	full1n	other				805669	1	3333	2	0	3290
